lt,zt,lc_lt_integrated,status,error,prob
149, 0.3, 0.0148699, 0, 1.48256e-06, 0.000650996
150, 0.3, 0.0132926, 0, 1.29736e-06, 0.00420046
151, 0.3, 0.01188, 0, 1.17526e-06, 0.0150773
152, 0.3, 0.0106159, 0, 1.03417e-06, 0.0610108
153, 0.3, 0.00948608, 0, 9.15569e-07, 0.143201
154, 0.3, 0.00847739, 0, 8.16308e-07, 0.305158
155, 0.3, 0.00757808, 0, 7.36286e-07, 0.361507
156, 0.3, 0.00677671, 0, 6.74641e-07, 0.627565
157, 0.3, 0.00606311, 0, 5.90511e-07, 0.798634
158, 0.3, 0.00542821, 0, 5.20062e-07, 0.850587
159, 0.3, 0.00486442, 0, 4.61657e-07, 0.919714
160, 0.3, 0.00436357, 0, 4.15694e-07, 0.97087
161, 0.3, 0.00391942, 0, 3.80573e-07, 0.978406
162, 0.3, 0.00352551, 0, 3.49331e-07, 0.989229
163, 0.3, 0.00317638, 0, 2.92396e-07, 0.993807
164, 0.3, 0.00286709, 0, 2.7601e-07, 0.995102
165, 0.3, 0.00259369, 0, 2.34504e-07, 0.997091
166, 0.3, 0.00235227, 0, 2.29825e-07, 0.994167
167, 0.3, 0.00213875, 0, 1.99128e-07, 0.996938
168, 0.3, 0.00195028, 0, 1.73055e-07, 0.997719
169, 0.3, 0.00178397, 0, 1.78077e-07, 0.998901
170, 0.3, 0.00163749, 0, 1.53272e-07, 0.999545
171, 0.3, 0.00150851, 0, 1.37851e-07, 0.99938
172, 0.3, 0.00139506, 0, 1.18276e-07, 0.999702
173, 0.3, 0.00129533, 0, 1.03087e-07, 0.999806
174, 0.3, 0.00120792, 0, 1.196e-07, 0.999399
175, 0.3, 0.00113112, 0, 1.0704e-07, 0.999316
176, 0.3, 0.00106385, 0, 9.41335e-08, 0.999538
177, 0.3, 0.00100501, 0, 8.34706e-08, 0.999665
178, 0.3, 0.000953604, 0, 7.95754e-08, 0.999642
179, 0.3, 0.000908778, 0, 6.98662e-08, 0.999813
180, 0.3, 0.000869422, 0, 8.65119e-08, 0.0233363
181, 0.3, 0.000835545, 0, 8.01354e-08, 0.0227179
182, 0.3, 0.000806167, 0, 7.04187e-08, 0.0259762
